periodyear,industry__name,emp,female,male,age45p,age50p,community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id
2016,Other,38,16,22,11,11,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,Local Government,262,125,137,128,96,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,State Government,191,82,109,90,66,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,Leisure and Hospitality,106,59,47,28,19,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,Educational and Health Services,562,406,156,197,148,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,Professional and Business Services,43,18,25,14,13,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,Financial Activities,58,29,29,22,20,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,Information,21,8,13,9,7,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,"Trade, Transportation and Utilities",276,86,190,91,72,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,Manufacturing,64,10,54,16,10,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2016,Construction,78,19,59,30,22,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
