periodyear,res16p,emp,wages,wagelt5k,wage5to10k,wage10to20k,wage20to50k,wage50kplus,privatesector,stategovt,localgovt,female,male,age45p,age50p,empQ1,empQ2,empQ3,empQ4,fourq,newhires,uiclaimants,prevagri,prevmine,prevutil,prevconstr,prevmanu,prevtrade,prevtrans,previnfo,prevfin,prevrealest,prevprof,prevmanag,prevadminwaste,prevedu,prevhealth,prevarts,prevaccom,prevstate,agiaexp,community__name,community__gnis_feature_id,community__census_code,community__census_area__name,community__census_area__gnis_feature_id,community__census_area__census_code,community__census_area__county_code,community__census_area__historical,community__census_area__notes,community__alaska_native_regional_corporation__name,community__latitude,community__longitude,community__aea_energy_region__name,community__dcra_community_id
2016,2459,1720,85028118.88,194,137,170,450,769,1267,191,262,858,862,643,490,1461,1506,1539,1476,1242,579,165,0,79,61,317,176,476,204,61,64,84,61,16,112,8,906,74,349,336,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2000,2370,1693,52702951.49,311,149,189,691,353,1260,180,253,828,865,540,324,1386,1451,1468,1440,1144,661,240,3,130,17,203,78,499,252,55,139,215,67,0,172,11,766,41,456,312,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2001,2380,1717,53659406.00,288,138,224,726,341,1274,195,248,848,869,548,339,1429,1507,1487,1398,1151,655,229,6,102,16,236,60,510,266,56,146,258,59,0,172,17,796,50,437,313,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2002,2362,1736,57198343.00,288,146,198,712,392,1262,199,275,853,883,573,356,1470,1530,1556,1464,1235,656,236,5,88,12,276,77,514,274,58,119,254,65,0,171,12,799,58,438,337,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2003,2299,1696,57697025.00,267,129,223,668,409,1280,193,223,825,871,610,380,1452,1508,1480,1434,1196,601,238,3,49,46,280,70,536,269,46,109,239,62,0,161,10,798,58,433,344,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2004,2362,1750,60955693.00,242,153,229,703,423,1323,199,228,846,904,641,403,1475,1512,1550,1502,1224,632,235,3,37,64,309,69,557,268,47,106,251,62,0,139,8,840,56,429,363,1178,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2005,2335,1741,61809404.00,253,138,216,705,430,1317,192,232,861,880,674,442,1462,1526,1530,1455,1200,620,194,3,40,101,326,60,536,266,45,85,200,46,1,132,10,829,56,413,361,1171,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2006,2359,1732,66506760.00,267,128,189,637,511,1302,195,235,863,869,643,430,1476,1557,1513,1456,1223,619,205,3,49,111,356,47,558,265,35,87,174,40,0,121,12,805,50,440,360,1186,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2007,2375,1733,67183505.00,251,146,176,640,520,1303,189,241,865,868,654,446,1465,1517,1513,1436,1212,612,178,2,77,105,323,23,550,256,44,71,212,112,0,134,7,778,41,456,345,1172,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2008,2436,1786,69883671.00,269,171,181,581,584,1328,201,257,887,899,674,475,1499,1566,1571,1472,1231,677,206,3,117,100,376,31,598,261,41,63,143,83,1,134,5,802,55,459,340,1227,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2009,2420,1758,69931059.00,261,132,191,594,581,1306,203,249,856,902,681,492,1491,1535,1553,1486,1235,616,292,5,116,98,353,32,617,259,41,68,123,54,0,144,7,829,52,451,353,1227,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2010,2439,1775,74164082.00,263,131,202,546,634,1320,201,254,879,896,688,504,1481,1539,1578,1500,1233,590,259,2,114,82,351,35,624,244,51,58,117,49,0,127,4,826,49,457,353,1233,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2011,2450,1779,76534232.00,221,119,214,567,658,1316,212,251,876,903,694,519,1476,1563,1585,1490,1236,616,251,4,115,82,354,27,617,242,50,68,85,53,2,129,6,826,62,423,361,1226,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
2012,2472,1804,81322621.00,215,114,210,571,694,1363,208,233,890,913,701,530,1528,1599,1597,1528,1280,0,236,1,104,78,341,104,514,256,44,82,87,207,9,107,5,855,66,386,368,,Nome,1407125,54920,Nome Census Area,1419977,99180,180,0,,Bering Straits Native Corporation,64.5011111,-165.4063889,Bering Straits,7831002d-cf78-477b-a4f8-b1c9bba1a96c
