	Frontier:x1	Frontier:x2	Frontier:x3	Frontier:x4	Frontier:c.half#c.x1#c.x1	Frontier:c.half#c.x2#c.x2	Frontier:c.half#c.x3#c.x3	Frontier:c.half#c.x4#c.x4	Frontier:c.x1#c.x2	Frontier:c.x1#c.x3	Frontier:c.x1#c.x4	Frontier:c.x2#c.x3	Frontier:c.x2#c.x4	Frontier:c.x3#c.x4	Frontier:s1	Frontier:c.half#c.s1#c.s1	Frontier:c.x1#c.s1	Frontier:c.x2#c.s1	Frontier:c.x3#c.s1	Frontier:c.x4#c.s1	Frontier:_cons	Usigma:broader_permit_share_norm	Usigma:avg_fish_ratio_im_norm	Usigma:_cons	Vsigma:_cons	
Frontier:x1	 3.595e-06	 2.062e-06	 9.945e-06	-1.813e-06	 6.077e-07	-5.420e-06	-2.141e-06	 6.430e-08	-1.046e-06	 2.730e-06	 1.593e-06	 3.528e-06	 4.395e-06	 6.871e-06	 .00007758	 -.0008363	 8.376e-07	-.00003735	 .00002805	-.00002624	 2.842e-06	 9.653e-06	-3.926e-06	-8.616e-06	-2.411e-06	
Frontier:x2	 2.062e-06	 6.669e-06	 8.269e-06	-7.370e-07	 3.748e-07	-1.669e-06	-8.393e-06	-3.106e-06	 1.961e-07	 6.375e-06	 7.465e-07	-.00001508	-1.845e-06	 5.929e-07	 .00007041	-.00119522	-.00001435	 .00012232	 .00013505	-1.189e-06	 3.290e-06	 .00001451	 1.382e-07	-.00004189	 5.567e-06	
Frontier:x3	 9.945e-06	 8.269e-06	 .00003084	-5.183e-06	 1.053e-06	-.00001085	-9.745e-06	-1.296e-06	 1.220e-06	 7.683e-06	 5.394e-06	 .00002263	 9.677e-06	 .00002137	 .00020278	-.00241379	-.00001633	-.00010312	 .00006034	 -.0000689	 8.377e-06	 .00001532	-.00001004	 4.601e-06	-.00002044	
Frontier:x4	-1.813e-06	-7.370e-07	-5.183e-06	 3.157e-06	 8.092e-07	 3.262e-06	-.00005403	 9.884e-07	-9.754e-07	-8.013e-06	 1.687e-06	-.00001786	-2.375e-06	 5.135e-06	-.00005303	 .00057619	 .00003463	 .00015393	 .00015232	 .00003846	-2.435e-06	-5.239e-06	 4.231e-06	-5.390e-06	 6.577e-06	
Frontier:c.half#c.x1#c.x1	 6.077e-07	 3.748e-07	 1.053e-06	 8.092e-07	 8.232e-07	-1.336e-06	-.00002458	 4.335e-07	-1.462e-06	-2.430e-06	 1.288e-06	-.00001012	 5.429e-07	 4.072e-06	 7.872e-06	-1.019e-07	 .00002572	 .00006486	 .00009751	 9.609e-06	-2.497e-08	 4.648e-06	 5.141e-07	-.00001567	 4.091e-06	
Frontier:c.half#c.x2#c.x2	-5.420e-06	-1.669e-06	-.00001085	 3.262e-06	-1.336e-06	 .00001516	-.00001902	-8.077e-07	 8.418e-06	-.00001002	 7.693e-07	 .00002306	-9.523e-06	-1.673e-06	-.00016958	 .00190991	 .00001103	 .00002123	-.00006267	  .0000553	-4.966e-06	-.00003965	 7.309e-06	 .00007765	-.00004731	
Frontier:c.half#c.x3#c.x3	-2.141e-06	-8.393e-06	-9.745e-06	-.00005403	-.00002458	-.00001902	 .00142103	 -.0000291	 .00003183	 .00016903	-.00006509	  .0003533	-5.605e-06	-.00024269	 .00029998	 -.0015116	-.00067566	-.00321976	-.00389292	-.00055712	   .000023	 .00005852	-.00005013	 .00007393	-.00003205	
Frontier:c.half#c.x4#c.x4	 6.430e-08	-3.106e-06	-1.296e-06	 9.884e-07	 4.335e-07	-8.077e-07	 -.0000291	 2.750e-06	-1.757e-06	-6.226e-06	 1.341e-06	 9.342e-08	 3.359e-06	 7.818e-06	-.00001469	 .00025786	 .00001237	-7.549e-06	 .00001303	 2.421e-07	-1.371e-06	-6.094e-06	-5.545e-07	 .00001998	 7.277e-06	
Frontier:c.x1#c.x2	-1.046e-06	 1.961e-07	 1.220e-06	-9.754e-07	-1.462e-06	 8.418e-06	 .00003183	-1.757e-06	 9.223e-06	-1.524e-06	 7.357e-07	 .00004626	-4.583e-06	-1.553e-06	-.00007427	 .00108873	-2.004e-06	-.00016704	-.00018436	 4.794e-06	-8.837e-07	-.00002872	 6.289e-07	  .0000786	-.00002889	
Frontier:c.x1#c.x3	 2.730e-06	 6.375e-06	 7.683e-06	-8.013e-06	-2.430e-06	-.00001002	 .00016903	-6.226e-06	-1.524e-06	 .00003281	-9.099e-06	 2.590e-06	 9.821e-07	-.00003157	 .00018035	-.00262012	-.00013485	-.00020818	-.00029722	-.00009095	 7.819e-06	 .00004177	-7.809e-06	-.00008126	 .00001649	
