	Frontier:ln_x1_star	Frontier:ln_x2_star	Frontier:ln_x3_star	Frontier:ln_x4_star	Frontier:ln_x1sq	Frontier:ln_x2sq	Frontier:ln_x3sq	Frontier:ln_x4sq	Frontier:ln_x1x2	Frontier:ln_x1x3	Frontier:ln_x1x4	Frontier:ln_x2x3	Frontier:ln_x2x4	Frontier:ln_x3x4	Frontier:ln_s1_star	Frontier:ln_s1sq	Frontier:ln_x1s1	Frontier:ln_x2s1	Frontier:ln_x3s1	Frontier:ln_x4s1	Frontier:_cons	Usigma:broader_permit_share_norm	Usigma:avg_fish_ratio_im_norm	Usigma:_cons	Vsigma:_cons	
Frontier:ln_x1_star	 3.616e-06	 2.086e-06	    .00001	-1.805e-06	 6.145e-07	-5.427e-06	-2.306e-06	 6.376e-08	-1.045e-06	 2.711e-06	 1.608e-06	 3.515e-06	 4.397e-06	 6.913e-06	 .00007743	-.00083549	 1.113e-06	-.00003707	 .00002874	-.00002617	 2.865e-06	 9.622e-06	-3.909e-06	-8.670e-06	-2.542e-06	
Frontier:ln_x2_star	 2.086e-06	 6.660e-06	 8.334e-06	-7.533e-07	 3.756e-07	-1.672e-06	-8.547e-06	-3.094e-06	 2.082e-07	 6.343e-06	 7.667e-07	-.00001493	-1.816e-06	 6.824e-07	 .00007046	 -.0011958	-.00001434	 .00012175	 .00013481	-1.301e-06	 3.315e-06	 .00001435	 1.182e-07	-.00004155	 5.696e-06	
Frontier:ln_x3_star	    .00001	 8.334e-06	 .00003102	-5.195e-06	 1.055e-06	-.00001089	-9.556e-06	-1.300e-06	 1.224e-06	 7.723e-06	 5.401e-06	 .00002275	 9.710e-06	 .00002139	 .00020275	 -.0024195	-.00001636	-.00010403	 .00005995	-.00006918	 8.462e-06	  .0000153	-.00001004	 4.602e-06	 -.0000216	
Frontier:ln_x4_star	-1.805e-06	-7.533e-07	-5.195e-06	 3.193e-06	 8.182e-07	 3.266e-06	-.00005457	 1.010e-06	-9.839e-07	-8.097e-06	 1.718e-06	 -.0000179	-2.355e-06	 5.257e-06	-.00005272	 .00057867	 .00003492	 .00015456	 .00015335	 .00003861	-2.451e-06	-5.286e-06	 4.220e-06	-5.215e-06	 6.901e-06	
Frontier:ln_x1sq	 6.145e-07	 3.756e-07	 1.055e-06	 8.182e-07	 8.232e-07	-1.336e-06	-.00002458	 4.335e-07	-1.462e-06	-2.430e-06	 1.288e-06	-.00001012	 5.429e-07	 4.072e-06	 8.043e-06	-1.023e-07	 .00002572	 .00006486	 .00009751	 9.609e-06	-1.879e-08	 4.624e-06	 5.119e-07	-.00001567	 4.314e-06	
Frontier:ln_x2sq	-5.427e-06	-1.672e-06	-.00001089	 3.266e-06	-1.336e-06	 .00001516	-.00001902	-8.076e-07	 8.418e-06	-.00001002	 7.693e-07	 .00002306	-9.523e-06	-1.673e-06	-.00016908	  .0019099	 .00001103	 .00002122	-.00006268	  .0000553	-4.998e-06	-.00003945	 7.277e-06	 .00007765	-.00004991	
Frontier:ln_x3sq	-2.306e-06	-8.547e-06	-9.556e-06	-.00005457	-.00002458	-.00001902	 .00142103	 -.0000291	 .00003183	 .00016903	-.00006509	  .0003533	-5.605e-06	-.00024269	 .00029215	-.00151149	-.00067565	-.00321976	-.00389292	-.00055712	 .00002282	 .00005822	-.00004991	 .00007394	-.00003343	
Frontier:ln_x4sq	 6.376e-08	-3.094e-06	-1.300e-06	 1.010e-06	 4.335e-07	-8.076e-07	 -.0000291	 2.750e-06	-1.757e-06	-6.226e-06	 1.341e-06	 9.342e-08	 3.359e-06	 7.818e-06	-.00001463	 .00025787	 .00001237	-7.549e-06	 .00001303	 2.423e-07	-1.371e-06	-6.063e-06	-5.521e-07	 .00001998	 7.704e-06	
Frontier:ln_x1x2	-1.045e-06	 2.082e-07	 1.224e-06	-9.839e-07	-1.462e-06	 8.418e-06	 .00003183	-1.757e-06	 9.223e-06	-1.524e-06	 7.357e-07	 .00004626	-4.583e-06	-1.553e-06	 -.0000743	 .00108874	-2.005e-06	-.00016704	-.00018436	 4.794e-06	-8.998e-07	-.00002858	 6.262e-07	  .0000786	-.00003037	
Frontier:ln_x1x3	 2.711e-06	 6.343e-06	 7.723e-06	-8.097e-06	-2.430e-06	-.00001002	 .00016903	-6.226e-06	-1.524e-06	 .00003281	-9.099e-06	 2.590e-06	 9.821e-07	-.00003157	 .00017909	-.00262012	-.00013484	-.00020817	-.00029722	-.00009095	 7.830e-06	 .00004155	-7.775e-06	-.00008126	 .00001741	
